216::CIU::Crist?fol Josep Bordes::http://cristofol.blogspot.com/feeds/posts/default
217::CIU::Marti Cabr?::http://blocs.mesvilaweb.cat/rss/2.0/bloc/6156
220::CIU::Montserrrant Candini::http://montserratcandini.blogspot.com/feeds/posts/default
221::CIU::Enric Canela::http://www.enriccanela.cat/index.php/feed/
222::CIU::Joan Ramon casals::http://joanramoncasals.blogspot.com/feeds/posts/default
223::CIU::Josep Maria Cervera::http://josepmcervera.blogspot.com/feeds/posts/default
229::CIU::Ramon Espadaler::http://ramonespadaler.blogspot.com/feeds/posts/default
231::CIU::Ferran Armengol::http://ferranarmengol.blogspot.com/feeds/posts/default
232::CIU::Joan Aregio::http://joanaregio.blogspot.com/feeds/posts/default
233::CIU::Gerard Ardanui::http://gardanuy.blogspot.com/feeds/posts/default
234::CIU::Josep Anguera::http://josepanguerasaez.blogspot.com/feeds/posts/default
235::CIU::Quim Amoros::http://quimamoros.blogspot.com/feeds/posts/default
236::CIU::Lluis Badia::http://www.lluisbadia.cat/index.php/feed/
237::CIU::Jordi Baez::http://jordibaez.wordpress.com/feed/
238::CIU::Albert Batalla::http://albertbatalla.cat/feed/
239::CIU::Raimon Blasi::http://raimondblasi.blogspot.com/feeds/posts/default
240::CIU::cdc vilaseca::http://cdcvila-seca.blogspot.com/feeds/posts/default
241::CIU::Nacio Cat::http://naciocat-politic-analista.blogspot.com/feeds/posts/default
242::CIU::Casa Gran::http://casagranbarcelona.blogspot.com/feeds/posts/default
243::CIU::Sergi Cases::http://sergicasas.blogspot.com/feeds/posts/default
244::CIU::Ramon Castellano::http://www.ramoncastellano.org/bloc/?feed=rss2
245::CIU::Iliana Castillo::http://lilianacastillogirona.blogspot.com/feeds/posts/default
246::CIU::Manel Catala::http://manelcatalaros.blogspot.com/feeds/posts/default
301::ICV::Laura Massana::http://lauramassana.blogspot.com.es/feeds/posts/default
302::ICV::Joan Boada::http://www.joanboada.cat/feeds/posts/default
303::ICV::Santi Cayuela::http://santicayuela.blogspot.com.es/feeds/posts/default
305::ICV::Xavier Boix::http://lamaesquerra.blogspot.com/feeds/posts/default
306::ICV::Dolors Camats::http://camats.blogspot.com/feeds/posts/default
308::ICV::Enric de Vilalta Pach::http://blocs.mesvilaweb.cat/rss/2.0/bloc/6207
309::ICV::Laia Ortiz::http://laiaortizcastellvi.blogspot.com.es/feeds/posts/default
310::ICV::Carles Feo i Quer::http://carlesfeo.blogspot.com/feeds/posts/default
313::ICV::Arnau Funes::http://arnaufunes.blogspot.com/feeds/posts/default
